accession,line_type,institution,location,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,seed_total,outcome,parent_plant_id,comments
SALK_049506c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0230,BC_S11Farm_0230,I,,,Y,> 100,,,
SALK_049529c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0013,BC_S11Farm_0013,I,,,N,,DNG,,
SALK_049540c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0231,BC_S11Farm_0231,I,,,Y,500,,,
SALK_049581c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0232,BC_S11Farm_0232,I,,,Y,400,,,
SALK_049583c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0233,BC_S11Farm_0233,I,,,Y,500,,,
SALK_049590c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0234,BC_S11Farm_0234,I,,,Y,200,,,
SALK_049620c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0014,BC_S11Farm_0014,I,,,Y,300,,,
SALK_049628c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0015,BC_S11Farm_0015,I,,,N,,DNG,,
SALK_049633c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0016,BC_S11Farm_0016,I,,,N,,DNG,,
SALK_049637c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0235,BC_S11Farm_0235,N,,,Y,200,,,
SALK_049644c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0236,BC_S11Farm_0236,N,,,Y,500,,,
SALK_049663c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0237,BC_S11Farm_0237,N,,,Y,50,,,
SALK_049738c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0238,BC_S11Farm_0238,N,,,Y,> 100,,,
SALK_049746c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0239,BC_S11Farm_0239,N,,,Y,> 500,,,
SALK_049751c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0017,BC_S11Farm_0017,N,,,N,,DNG,,
SALK_049754c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0240,BC_S11Farm_0240,N,,,Y,300,,,
SALK_049763c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0018,BC_S11Farm_0018,N,,,Y,,INS_FRUIT,,
SALK_049770c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0241,BC_S11Farm_0241,N,,,Y,200,,,
SALK_049785c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0242,BC_S11Farm_0242,N,,,Y,400,,,
