accession,line_type,parent_plant_id,institution,facility,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,outcome,comments,REFARM?,REFARM_EXPTID,REFARM_COMMENTS
SALK_060240C,RAND_BIN_LINE,,CofC,NGH,SF,01,0161,CofC_SF01_0161,6,A,1,Y,2,,INS_FRUIT,Resown,Y,SF05,
SALK_002295C,RAND_BIN_LINE,,CofC,NGH,SF,01,0116,CofC_SF01_0116,4,E,4,Y,24,6/11/2012,,,,,
SALK_002349C,RAND_BIN_LINE,,CofC,NGH,SF,01,0136,CofC_SF01_0136,5,B,4,Y,5,6/22/2012,,Resown,,,
SALK_004746C,RAND_BIN_LINE,,CofC,NGH,SF,01,0075,CofC_SF01_0075,3,C,3,Y,5,6/22/2012,,Resown,,,
SALK_006938C,RAND_BIN_LINE,,CofC,NGH,SF,01,0281,CofC_SF01_0281,9,G,1,Y,2,6/22/2012,,Resown,,,
SALK_007148C,RAND_BIN_LINE,,CofC,NGH,SF,01,0142,CofC_SF01_0142,5,D,2,Y,5,6/22/2012,,Resown,,,
SALK_009186C,RAND_BIN_LINE,,CofC,NGH,SF,01,0029,CofC_SF01_0029,1,H,1,Y,5,6/22/2012,,,,,
SALK_012792C,RAND_BIN_LINE,,CofC,NGH,SF,01,0155,CofC_SF01_0155,5,G,3,Y,26,6/11/2012,,,,,
SALK_012839C,RAND_BIN_LINE,,CofC,NGH,SF,01,0127,CofC_SF01_0127,4,H,3,Y,23,6/11/2012,,,,,
SALK_012846C,RAND_BIN_LINE,,CofC,NGH,SF,01,0254,CofC_SF01_0254,8,H,2,Y,22,6/11/2012,,,,,
SALK_012847C,RAND_BIN_LINE,,CofC,NGH,SF,01,0218,CofC_SF01_0218,7,G,2,Y,24,6/11/2012,,,,,
SALK_012941C,RAND_BIN_LINE,,CofC,NGH,SF,01,0160,CofC_SF01_0160,5,H,4,Y,11,6/11/2012,,,,,
SALK_012955C,RAND_BIN_LINE,,CofC,NGH,SF,01,0247,CofC_SF01_0247,8,F,3,Y,18,6/11/2012,,,,,
SALK_014524C,RAND_BIN_LINE,,CofC,NGH,SF,01,0194,CofC_SF01_0194,7,A,2,Y,11,6/15/2012,,,,,
SALK_014557C,RAND_BIN_LINE,,CofC,NGH,SF,01,0053,CofC_SF01_0053,2,F,1,Y,27,6/11/2012,,,,,
SALK_014633C,RAND_BIN_LINE,,CofC,NGH,SF,01,0320,CofC_SF01_0320,10,H,4,Y,14,6/11/2012,,,,,
SALK_016312C,RAND_BIN_LINE,,CofC,NGH,SF,01,0087,CofC_SF01_0087,3,F,3,Y,2,6/29/2012,,Resown,,,
SALK_016332C,RAND_BIN_LINE,,CofC,NGH,SF,01,0001,CofC_SF01_0001,1,A,1,Y,26,6/15/2012,,,,,
SALK_016333C,RAND_BIN_LINE,,CofC,NGH,SF,01,0230,CofC_SF01_0230,8,B,2,Y,14,6/11/2012,,,,,
SALK_016356C,RAND_BIN_LINE,,CofC,NGH,SF,01,0146,CofC_SF01_0146,5,E,2,Y,5,6/29/2012,,Resown,,,
SALK_016447C,RAND_BIN_LINE,,CofC,NGH,SF,01,0228,CofC_SF01_0228,8,A,4,Y,33,7/5/2012,,small fruits,,,
SALK_016455C,RAND_BIN_LINE,,CofC,NGH,SF,01,0248,CofC_SF01_0248,8,F,4,Y,11,6/11/2012,,,,,
SALK_016557C,RAND_BIN_LINE,,CofC,NGH,SF,01,0118,CofC_SF01_0118,4,F,2,Y,9,6/15/2012,,,,,
SALK_016570C,RAND_BIN_LINE,,CofC,NGH,SF,01,0295,CofC_SF01_0295,10,B,3,Y,11,6/11/2012,,,,,
SALK_020158C,RAND_BIN_LINE,,CofC,NGH,SF,01,0107,CofC_SF01_0107,4,C,3,Y,72,6/11/2012,,,,,
SALK_020181C,RAND_BIN_LINE,,CofC,NGH,SF,01,0030,CofC_SF01_0030,1,H,2,Y,18,6/15/2012,,,,,
SALK_021474C,RAND_BIN_LINE,,CofC,NGH,SF,01,0080,CofC_SF01_0080,3,D,4,Y,7,6/15/2012,,,,,
SALK_021479C,RAND_BIN_LINE,,CofC,NGH,SF,01,0064,CofC_SF01_0064,2,H,4,Y,25,6/11/2012,,,,,
SALK_021491C,RAND_BIN_LINE,,CofC,NGH,SF,01,0233,CofC_SF01_0233,8,C,1,Y,14,6/15/2012,,,,,
SALK_021500C,RAND_BIN_LINE,,CofC,NGH,SF,01,0257,CofC_SF01_0257,9,A,1,Y,8,6/15/2012,,,,,
SALK_021530C,RAND_BIN_LINE,,CofC,NGH,SF,01,0096,CofC_SF01_0096,3,H,4,Y,19,6/11/2012,,,,,
SALK_021560C,RAND_BIN_LINE,,CofC,NGH,SF,01,0166,CofC_SF01_0166,6,B,2,Y,7,6/15/2012,,,,,
SALK_060242C,RAND_BIN_LINE,,CofC,NGH,SF,01,0129,CofC_SF01_0129,5,A,1,Y,3,6/22/2012,,Resown,,,
SALK_060252C,RAND_BIN_LINE,,CofC,NGH,SF,01,0151,CofC_SF01_0151,5,F,3,Y,9,6/15/2012,,,,,
SALK_062469C,RAND_BIN_LINE,,CofC,NGH,SF,01,0003,CofC_SF01_0003,1,A,3,Y,9,7/5/2012,,Resown,,,
SALK_062570C,RAND_BIN_LINE,,CofC,NGH,SF,01,0041,CofC_SF01_0041,2,C,1,Y,8,6/22/2012,,Resown,,,
SALK_062717C,RAND_BIN_LINE,,CofC,NGH,SF,01,0093,CofC_SF01_0093,3,H,1,Y,12,6/11/2012,,,,,
SALK_062752C,RAND_BIN_LINE,,CofC,NGH,SF,01,0270,CofC_SF01_0270,9,D,2,Y,4,6/22/2012,,,,,
SALK_064401C,RAND_BIN_LINE,,CofC,NGH,SF,01,0061,CofC_SF01_0061,2,H,1,Y,11,6/11/2012,,,,,
SALK_064423C,RAND_BIN_LINE,,CofC,NGH,SF,01,0097,CofC_SF01_0097,4,A,1,Y,17,6/15/2012,,Resown,,,
SALK_064486C,RAND_BIN_LINE,,CofC,NGH,SF,01,0132,CofC_SF01_0132,5,A,4,Y,4,6/29/2012,,Resown,,,
COL70000,SEED_PHYTOMETER,,CofC,NGH,SF,01,0102,CofC_SF01_0102,4,B,2,Y,,,DIED,Resown,,,
CS22599,SEED_PHYTOMETER,,CofC,NGH,SF,01,0123,CofC_SF01_0123,4,G,3,Y,,,DIED,Resown,,,
CS22600,SEED_PHYTOMETER,,CofC,NGH,SF,01,0265,CofC_SF01_0265,9,C,1,Y,,,DIED,Resown,,,
CS22601,SEED_PHYTOMETER,,CofC,NGH,SF,01,0258,CofC_SF01_0258,9,A,2,Y,,,DIED,Resown,,,
CS22617,SEED_PHYTOMETER,,CofC,NGH,SF,01,0082,CofC_SF01_0082,3,E,2,Y,,,DIED,Resown,,,
CS22619,SEED_PHYTOMETER,,CofC,NGH,SF,01,0004,CofC_SF01_0004,1,A,4,Y,,,DIED,,,,
CS22620,SEED_PHYTOMETER,,CofC,NGH,SF,01,0148,CofC_SF01_0148,5,E,4,Y,,,DIED,Resown,,,
CS22620,SEED_PHYTOMETER,,CofC,NGH,SF,01,0203,CofC_SF01_0203,7,C,3,Y,,,DIED,Resown,,,
CS22649,SEED_PHYTOMETER,,CofC,NGH,SF,01,0113,CofC_SF01_0113,4,E,1,Y,,,DIED,Resown,,,
CS22650,SEED_PHYTOMETER,,CofC,NGH,SF,01,0007,CofC_SF01_0007,1,B,3,Y,,,DIED,,,,
COL70000,SEED_PHYTOMETER,,CofC,NGH,SF,01,0022,CofC_SF01_0022,1,F,2,N,,,DNG,,,,
CS22599,SEED_PHYTOMETER,,CofC,NGH,SF,01,0079,CofC_SF01_0079,3,D,3,N,,,DNG,Resown,,,
CS22601,SEED_PHYTOMETER,,CofC,NGH,SF,01,0043,CofC_SF01_0043,2,C,3,N,,,DNG,Resown,,,
CS22601,SEED_PHYTOMETER,,CofC,NGH,SF,01,0209,CofC_SF01_0209,7,E,1,N,,,DNG,Resown,,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,01,0313,CofC_SF01_0313,10,G,1,N,,,DNG,Resown,,,
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,01,0168,CofC_SF01_0168,6,B,4,N,,,DNG,Resown,,,
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,01,0300,CofC_SF01_0300,10,C,4,N,,,DNG,,,,
CS22615,SEED_PHYTOMETER,,CofC,NGH,SF,01,0065,CofC_SF01_0065,3,A,1,N,,,DNG,Resown,,,
CS22615,SEED_PHYTOMETER,,CofC,NGH,SF,01,0190,CofC_SF01_0190,6,H,2,N,,,DNG,Resown,,,
CS22615,SEED_PHYTOMETER,,CofC,NGH,SF,01,0224,CofC_SF01_0224,7,H,4,N,,,DNG,Resown,,,
CS22627,SEED_PHYTOMETER,,CofC,NGH,SF,01,0214,CofC_SF01_0214,7,F,2,N,,,DNG,Resown,,,
CS22627,SEED_PHYTOMETER,,CofC,NGH,SF,01,0263,CofC_SF01_0263,9,B,3,N,,,DNG,Resown,,,
CS22633,SEED_PHYTOMETER,,CofC,NGH,SF,01,0078,CofC_SF01_0078,3,D,2,N,,,DNG,Resown,,,
CS22633,SEED_PHYTOMETER,,CofC,NGH,SF,01,0094,CofC_SF01_0094,3,H,2,N,,,DNG,Resown,,,
CS22658,SEED_PHYTOMETER,,CofC,NGH,SF,01,0145,CofC_SF01_0145,5,E,1,N,,,DNG,Resown,,,
CS22599,SEED_PHYTOMETER,,CofC,NGH,SF,01,0260,CofC_SF01_0260,9,A,4,Y,0,,INS_FRUIT,,,,
CS22634,SEED_PHYTOMETER,,CofC,NGH,SF,01,0089,CofC_SF01_0089,3,G,1,Y,0,,INS_FRUIT,Resown; did not bolt,,,
CS22650,SEED_PHYTOMETER,,CofC,NGH,SF,01,0091,CofC_SF01_0091,3,G,3,Y,0,,INS_FRUIT,Resown; did not bolt,,,
CS22652,SEED_PHYTOMETER,,CofC,NGH,SF,01,0149,CofC_SF01_0149,5,F,1,Y,18,,,,,,
COL70000,SEED_PHYTOMETER,,CofC,NGH,SF,01,0159,CofC_SF01_0159,5,H,3,Y,>10,,,,,,
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,01,0060,CofC_SF01_0060,2,G,4,Y,3,,,Resown,,,
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,01,0074,CofC_SF01_0074,3,C,2,Y,1,,,Resown,,,
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,01,0115,CofC_SF01_0115,4,E,3,Y,1,,,Resown,,,
CS22600,SEED_PHYTOMETER,,CofC,NGH,SF,01,0117,CofC_SF01_0117,4,F,1,Y,28,,,,,,
CS22600,SEED_PHYTOMETER,,CofC,NGH,SF,01,0267,CofC_SF01_0267,9,C,3,Y,10,,,Resown,,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,01,0057,CofC_SF01_0057,2,G,1,Y,1,,,Resown,,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,01,0070,CofC_SF01_0070,3,B,2,Y,2,,,,,,
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,01,0240,CofC_SF01_0240,8,D,4,Y,>2,,,,,,
CS22617,SEED_PHYTOMETER,,CofC,NGH,SF,01,0178,CofC_SF01_0178,6,E,2,Y,>12,,,,,,
CS22617,SEED_PHYTOMETER,,CofC,NGH,SF,01,0179,CofC_SF01_0179,6,E,3,Y,>19,,,,,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,01,0067,CofC_SF01_0067,3,A,3,Y,>4,,,,,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,01,0110,CofC_SF01_0110,4,D,2,Y,>12,,,,,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,01,0297,CofC_SF01_0297,10,C,1,Y,>17,,,Resown,,,
CS22619,SEED_PHYTOMETER,,CofC,NGH,SF,01,0017,CofC_SF01_0017,1,E,1,Y,5,,,Resown,,,
CS22619,SEED_PHYTOMETER,,CofC,NGH,SF,01,0216,CofC_SF01_0216,7,F,4,Y,2,,,Resown,,,
CS22620,SEED_PHYTOMETER,,CofC,NGH,SF,01,0196,CofC_SF01_0196,7,A,4,Y,17,,,,,,
CS22627,SEED_PHYTOMETER,,CofC,NGH,SF,01,0147,CofC_SF01_0147,5,E,3,Y,2,,,,,,
CS22631,SEED_PHYTOMETER,,CofC,NGH,SF,01,0207,CofC_SF01_0207,7,D,3,Y,17,,,Resown,,,
CS22631,SEED_PHYTOMETER,,CofC,NGH,SF,01,0242,CofC_SF01_0242,8,E,2,Y,20,,,,,,
CS22631,SEED_PHYTOMETER,,CofC,NGH,SF,01,0251,CofC_SF01_0251,8,G,3,Y,20,,,,,,
CS22633,SEED_PHYTOMETER,,CofC,NGH,SF,01,0139,CofC_SF01_0139,5,C,3,Y,17,,,,,,
CS22634,SEED_PHYTOMETER,,CofC,NGH,SF,01,0183,CofC_SF01_0183,6,F,3,Y,>8,,,,,,
CS22634,SEED_PHYTOMETER,,CofC,NGH,SF,01,0253,CofC_SF01_0253,8,H,1,Y,4,,,,,,
CS22635,SEED_PHYTOMETER,,CofC,NGH,SF,01,0219,CofC_SF01_0219,7,G,3,Y,>18,,,,,,
CS22635,SEED_PHYTOMETER,,CofC,NGH,SF,01,0302,CofC_SF01_0302,10,D,2,Y,>11,,,,,,
CS22635,SEED_PHYTOMETER,,CofC,NGH,SF,01,0305,CofC_SF01_0305,10,E,1,Y,>14,,,,,,
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,01,0122,CofC_SF01_0122,4,G,2,Y,>11,,,,,,
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,01,0133,CofC_SF01_0133,5,B,1,Y,14,,,,,,
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,01,0177,CofC_SF01_0177,6,E,1,Y,5,,,,,,
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,01,0028,CofC_SF01_0028,1,G,4,Y,26,,,,,,
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,01,0050,CofC_SF01_0050,2,E,2,Y,>11,,,,,,
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,01,0309,CofC_SF01_0309,10,F,1,Y,>15,,,,,,
CS22649,SEED_PHYTOMETER,,CofC,NGH,SF,01,0157,CofC_SF01_0157,5,H,1,Y,>12,,,,,,
CS22649,SEED_PHYTOMETER,,CofC,NGH,SF,01,0246,CofC_SF01_0246,8,F,2,Y,3,,,,,,
CS22650,SEED_PHYTOMETER,,CofC,NGH,SF,01,0312,CofC_SF01_0312,10,F,4,Y,9,,,,,,
CS22652,SEED_PHYTOMETER,,CofC,NGH,SF,01,0283,CofC_SF01_0283,9,G,3,Y,>3,,,,,,
CS22652,SEED_PHYTOMETER,,CofC,NGH,SF,01,0315,CofC_SF01_0315,10,G,3,Y,>9,,,,,,
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,01,0056,CofC_SF01_0056,2,F,4,Y,>11,,,,,,
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,01,0169,CofC_SF01_0169,6,C,1,Y,5,,,Resown,,,
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,01,0189,CofC_SF01_0189,6,H,1,Y,>13,,,,,,
CS22658,SEED_PHYTOMETER,,CofC,NGH,SF,01,0052,CofC_SF01_0052,2,E,4,Y,2,,,Resown,,,
CS22658,SEED_PHYTOMETER,,CofC,NGH,SF,01,0298,CofC_SF01_0298,10,C,2,Y,>14,,,,,,
CS22659,SEED_PHYTOMETER,,CofC,NGH,SF,01,0020,CofC_SF01_0020,1,E,4,Y,>11,,,,,,
CS22659,SEED_PHYTOMETER,,CofC,NGH,SF,01,0202,CofC_SF01_0202,7,C,2,Y,>30,,,,,,
CS22659,SEED_PHYTOMETER,,CofC,NGH,SF,01,0289,CofC_SF01_0289,10,A,1,Y,>5,,,,,,
