"exptid","accession","institution","facility","flat","row","column","expttype","ko.status","replicate","GC_locale","parent_id","phenotype","value","comments","treatment"
"1a1","CS22617","BC","BC-GC1",5,"I",5,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0060","fruitnum",72,"","standard GC"
"1a1","CS22617","BC","BC-GC1",6,"E",4,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0060","fruitnum",NA,"","standard GC"
"1a1","CS22617","CofC","COFC-GC1",1,"K",4,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0178","fruitnum",8,"","standard GC"
"1a1","CS22617","CofC","COFC-GC1",2,"A",6,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0178","fruitnum",12,"","standard GC"
"1a1","CS22617","CofC","COFC-GC1",3,"C",3,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0178","fruitnum",26,"","standard GC"
"1a1","CS22617","CofC","COFC-GC1",4,"E",5,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0178","fruitnum",16,"","standard GC"
"1a1","CS22617","CofC","COFC-GC1",5,"C",3,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0178","fruitnum",12,"","standard GC"
"1a1","CS22617","CofC","COFC-GC1",6,"J",4,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0178","fruitnum",13,"","standard GC"
"1a1","CS22617","CofC","COFC-GC2",7,"K",1,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0178","fruitnum",13,"","standard GC"
"1a1","CS22617","CofC","COFC-GC2",8,"D",3,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0178","fruitnum",13,"","standard GC"
"1a1","CS22617","CofC","COFC-GC2",9,"G",6,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0178","fruitnum",15,"","standard GC"
"1a1","CS22617","CofC","COFC-GC2",10,"K",3,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0178","fruitnum",16,"","standard GC"
"1a1","CS22617","CofC","COFC-GC2",11,"L",2,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0178","fruitnum",22,"","standard GC"
"1a1","CS22617","CofC","COFC-GC2",12,"K",2,"1ENVT_GC","PHYTO",6,"GC2","CofC_SF01_0178","fruitnum",24,"","standard GC"
"1a1","CS22618","BC","BC-GC1",1,"C",4,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0178","fruitnum",31,"","standard GC"
"1a1","CS22618","BC","BC-GC1",2,"D",3,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0178","fruitnum",20,"","standard GC"
"1a1","CS22618","BC","BC-GC1",3,"B",5,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0178","fruitnum",61,"","standard GC"
"1a1","CS22618","BC","BC-GC1",4,"H",6,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0178","fruitnum",40,"","standard GC"
"1a1","CS22618","BC","BC-GC1",5,"D",4,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0178","fruitnum",72,"","standard GC"
"1a1","CS22618","BC","BC-GC1",6,"E",1,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0178","fruitnum",NA,"","standard GC"
"1a1","CS22618","CofC","COFC-GC1",1,"A",1,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0067","fruitnum",19,"","standard GC"
"1a1","CS22618","CofC","COFC-GC1",2,"J",4,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0067","fruitnum",12,"","standard GC"
"1a1","CS22618","CofC","COFC-GC1",3,"C",5,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0067","fruitnum",23,"","standard GC"
"1a1","CS22618","CofC","COFC-GC1",4,"L",1,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0067","fruitnum",70,"","standard GC"
"1a1","CS22618","CofC","COFC-GC1",5,"K",1,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0067","fruitnum",11,"","standard GC"
