"exptid","accession","institution","facility","flat","row","column","fruitnum","aborted.fruits","inflorescence.height","diameter.at.bolt","treatment","parent_id"
"1a1","CS22617","CofC","COFC-GC1",1,"K",4,8,7,12,18.9,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC1",2,"A",6,12,6,18.9,32.2,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC1",3,"C",3,26,5,22.7,42.3,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC1",4,"E",5,16,5,18,30.2,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC1",5,"C",3,12,7,14.4,22.4,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC1",6,"J",4,13,5,15.8,24.6,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC2",10,"K",3,16,8,19.9,35.1,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC2",11,"L",2,22,4,21.9,26.1,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC2",12,"K",2,24,6,21.2,34.1,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC2",7,"K",1,13,9,17.1,21.4,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC2",8,"D",3,13,2,17.6,34.6,"standard GC","CofC_SF01_0178"
"1a1","CS22617","CofC","COFC-GC2",9,"G",6,15,12,20.2,NA,"standard GC","CofC_SF01_0178"
"1a1","CS22618","BC","BC-GC1",1,"C",4,31,4,13.4,46.46,"standard GC","CofC_SF01_0178"
"1a1","CS22618","BC","BC-GC1",2,"D",3,20,15,15.6,39.47,"standard GC","CofC_SF01_0178"
"1a1","CS22618","BC","BC-GC1",3,"B",5,61,11,16.1,41.36,"standard GC","CofC_SF01_0178"
"1a1","CS22618","BC","BC-GC1",4,"H",6,40,4,17.5,51.61,"standard GC","CofC_SF01_0178"
"1a1","CS22618","BC","BC-GC1",5,"D",4,72,27,28.2,52.54,"standard GC","CofC_SF01_0178"
"1a1","CS22618","BC","BC-GC1",6,"E",1,NA,NA,NA,39.14,"standard GC","CofC_SF01_0178"
"1a1","CS22618","CofC","COFC-GC1",1,"A",1,19,1,9.5,30.3,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC1",2,"J",4,12,1,7.6,26.5,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC1",3,"C",5,23,7,11.5,45.5,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC1",4,"L",1,70,4,18.2,40.7,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC1",5,"K",1,11,4,5.4,17.7,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC1",6,"F",1,20,4,9.3,33.1,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC2",10,"H",2,21,9,11.3,36,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC2",11,"F",3,NA,NA,NA,32,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC2",12,"E",5,18,8,8.9,21.3,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC2",7,"I",4,14,9,7.6,34.3,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC2",8,"C",4,22,1,8.6,21,"standard GC","CofC_SF01_0067"
"1a1","CS22618","CofC","COFC-GC2",9,"B",5,29,8,12.6,36.8,"standard GC","CofC_SF01_0067"
"1a1","CS22631","BC","BC-GC1",1,"B",6,26,14,23.2,39.63,"standard GC","CofC_SF01_0067"
"1a1","CS22631","BC","BC-GC1",2,"I",6,59,3,34.2,32.63,"standard GC","CofC_SF01_0067"
"1a1","CS22631","BC","BC-GC1",3,"E",2,37,5,30,41.64,"standard GC","CofC_SF01_0067"
"1a1","CS22631","BC","BC-GC1",4,"C",2,70,3,36.3,52.15,"standard GC","CofC_SF01_0067"
"1a1","CS22631","BC","BC-GC1",5,"G",2,70,0,29.7,NA,"standard GC","CofC_SF01_0067"
"1a1","CS22631","BC","BC-GC1",6,"B",2,67,2,28.5,NA,"standard GC","CofC_SF01_0067"
"1a1","CS22631","CofC","COFC-GC1",1,"H",5,NA,NA,NA,NA,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC1",2,"H",3,10,5,12.4,20.7,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC1",3,"K",5,NA,NA,NA,NA,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC1",4,"C",4,19,6,17.2,36.4,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC1",5,"A",4,NA,NA,NA,NA,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC1",6,"K",2,NA,NA,NA,NA,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC2",10,"C",1,NA,NA,NA,34,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC2",11,"B",3,NA,NA,NA,29.2,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC2",12,"D",1,10,1,13.3,51.6,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC2",7,"E",3,NA,NA,NA,41.8,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC2",8,"F",2,NA,NA,NA,29.5,"standard GC","CofC_SF01_0207"
"1a1","CS22631","CofC","COFC-GC2",9,"F",5,0,2,1.2,41.7,"standard GC","CofC_SF01_0207"
"1a1","CS22633","BC","BC-GC1",1,"D",5,56,10,30.2,33.39,"standard GC","CofC_SF01_0207"
"1a1","CS22633","BC","BC-GC1",2,"G",2,65,35,23.3,40.26,"standard GC","CofC_SF01_0207"
"1a1","CS22633","BC","BC-GC1",3,"L",1,35,5,19.5,45.36,"standard GC","CofC_SF01_0207"
"1a1","CS22633","BC","BC-GC1",4,"D",5,43,19,32.2,56.57,"standard GC","CofC_SF01_0207"
"1a1","CS22633","BC","BC-GC1",5,"C",2,57,6,31.5,57.02,"standard GC","CofC_SF01_0207"
"1a1","CS22633","BC","BC-GC1",6,"H",3,NA,NA,NA,53.6,"standard GC","CofC_SF01_0207"
"1a1","CS22633","CofC","COFC-GC1",1,"J",2,15,7,21.5,24.8,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC1",2,"A",1,21,24,38.9,46,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC1",3,"I",6,26,37,47.2,38.5,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC1",4,"C",6,NA,NA,NA,33.6,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC1",5,"B",2,14,5,17.2,15.8,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC1",6,"G",1,52,11,40.1,41.3,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC2",10,"H",6,20,14,24.2,35.2,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC2",11,"I",5,29,8,24,29.1,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC2",12,"E",2,28,18,25.8,NA,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC2",7,"L",4,13,14,23.2,32.9,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC2",8,"J",1,44,6,33.9,41.4,"standard GC","CofC_SF01_0139"
"1a1","CS22633","CofC","COFC-GC2",9,"C",4,15,12,22.7,39.9,"standard GC","CofC_SF01_0139"
"1a1","CS22635","BC","BC-GC1",1,"I",4,113,11,38.2,44.89,"standard GC","CofC_SF01_0139"
