accession,line_type,parent_plant_id,institution,facility,expt_type,expt_ID,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,total_good_fruit,tissue_collected,OUTCOME,comments,REFARM?,REFARM_EXPTID,REFARM_COMMENTS
CS22636,PHYTOMETER,,CofC,NGH,SF,4,278,CofC_SF04_0278,9,F,2,Y,52,60,,,Some lost,,,
SALK_022069C,RAND_BIN_LINE,,CofC,NGH,SF,4,279,CofC_SF04_0279,9,F,3,Y,18,,8/21,,,,,
SALK_023529C,RAND_BIN_LINE,,CofC,NGH,SF,4,280,CofC_SF04_0280,9,F,4,Y,47,,8/21,,,,,
SALK_026398C,RAND_BIN_LINE,,CofC,NGH,SF,4,281,CofC_SF04_0281,9,G,1,Y,15,,8/21,,,,,
SALK_022524C,RAND_BIN_LINE,,CofC,NGH,SF,4,282,CofC_SF04_0282,9,G,2,N,,,,DNG,,Y,SF06,
SALK_025600C,RAND_BIN_LINE,,CofC,NGH,SF,4,283,CofC_SF04_0283,9,G,3,Y,60,,8/21,,,,,
SALK_025407C,RAND_BIN_LINE,,CofC,NGH,SF,4,284,CofC_SF04_0284,9,G,4,Y,27,,8/21,,,,,
SALK_025038C,RAND_BIN_LINE,,CofC,NGH,SF,4,285,CofC_SF04_0285,9,H,1,N,,,,DNG,,Y,SF06,
SALK_023251C,RAND_BIN_LINE,,CofC,NGH,SF,4,286,CofC_SF04_0286,9,H,2,N,,,,DNG,,Y,SF06,
SALK_025517C,RAND_BIN_LINE,,CofC,NGH,SF,4,287,CofC_SF04_0287,9,H,3,Y,33,,8/21,,,,,
SALK_024096C,RAND_BIN_LINE,,CofC,NGH,SF,4,288,CofC_SF04_0288,9,H,4,N,,,,DNG,,Y,SF06,
SALK_023888C,RAND_BIN_LINE,,CofC,NGH,SF,4,289,CofC_SF04_0289,10,A,1,Y,40,,8/21,,,,,
SALK_022242C,RAND_BIN_LINE,,CofC,NGH,SF,4,290,CofC_SF04_0290,10,A,2,Y,18,,8/21,,,,,
SALK_023502C,RAND_BIN_LINE,,CofC,NGH,SF,4,291,CofC_SF04_0291,10,A,3,N,18,,8/21,,,N,SF06,*Taken for refarm because no germination data
SALK_023463C,RAND_BIN_LINE,,CofC,NGH,SF,4,292,CofC_SF04_0292,10,A,4,Y,26,,8/21,,,,,
SALK_023641C,RAND_BIN_LINE,,CofC,NGH,SF,4,293,CofC_SF04_0293,10,B,1,Y,40,,8/21,,,,,
CS22631,PHYTOMETER,,CofC,NGH,SF,4,294,CofC_SF04_0294,10,B,2,Y,41,43,,,,,,
SALK_022240C,RAND_BIN_LINE,,CofC,NGH,SF,4,295,CofC_SF04_0295,10,B,3,Y,50,,8/21,,,,,
SALK_026233C,RAND_BIN_LINE,,CofC,NGH,SF,4,296,CofC_SF04_0296,10,B,4,Y,56,,8/21,,,,,
SALK_021896C,RAND_BIN_LINE,,CofC,NGH,SF,4,297,CofC_SF04_0297,10,C,1,N,,,,DNG,,Y,SF06,
CS22615,PHYTOMETER,,CofC,NGH,SF,4,298,CofC_SF04_0298,10,C,2,Y,34,,,,,,,
SALK_026283C,RAND_BIN_LINE,,CofC,NGH,SF,4,299,CofC_SF04_0299,10,C,3,N,,,,DNG,,Y,SF06,
SALK_021943C,RAND_BIN_LINE,,CofC,NGH,SF,4,300,CofC_SF04_0300,10,C,4,Y,35,,8/21,,,,,
SALK_023943C,RAND_BIN_LINE,,CofC,NGH,SF,4,301,CofC_SF04_0301,10,D,1,N,,,,DNG,,Y,SF06,
CS22600,PHYTOMETER,,CofC,NGH,SF,4,302,CofC_SF04_0302,10,D,2,Y,42,51,,,,,,
SALK_023687C,RAND_BIN_LINE,,CofC,NGH,SF,4,303,CofC_SF04_0303,10,D,3,Y,35,,8/21,,,,,
SALK_022855C,RAND_BIN_LINE,,CofC,NGH,SF,4,304,CofC_SF04_0304,10,D,4,Y,38,,8/21,,,,,
SALK_026981C,RAND_BIN_LINE,,CofC,NGH,SF,4,305,CofC_SF04_0305,10,E,1,Y,38,,8/21,,,,,
SALK_022744C,RAND_BIN_LINE,,CofC,NGH,SF,4,306,CofC_SF04_0306,10,E,2,Y,38,,8/21,,,,,
SALK_025684C,RAND_BIN_LINE,,CofC,NGH,SF,4,307,CofC_SF04_0307,10,E,3,Y,23,,8/21,,,,,
CS22658,PHYTOMETER,,CofC,NGH,SF,4,308,CofC_SF04_0308,10,E,4,N,,,,NO_SEED_SOWED,,,,
SALK_024867C,RAND_BIN_LINE,,CofC,NGH,SF,4,309,CofC_SF04_0309,10,F,1,Y,41,,8/21,,,,,
CS22649,PHYTOMETER,,CofC,NGH,SF,4,310,CofC_SF04_0310,10,F,2,Y,14,25,,,Some lost,,,
SALK_022711C,RAND_BIN_LINE,,CofC,NGH,SF,4,311,CofC_SF04_0311,10,F,3,Y,44,,8/21,,,,,
CS22596,PHYTOMETER,,CofC,NGH,SF,4,312,CofC_SF04_0312,10,F,4,Y,58,,,,"Crossed out on data sheet, but there are fruits in the collection envelope",,,
SALK_025301C,RAND_BIN_LINE,,CofC,NGH,SF,4,313,CofC_SF04_0313,10,G,1,N,,,,DNG,,Y,SF06,
SALK_024872C,RAND_BIN_LINE,,CofC,NGH,SF,4,314,CofC_SF04_0314,10,G,2,Y,43,,8/21,,,,,
SALK_027294C,RAND_BIN_LINE,,CofC,NGH,SF,4,315,CofC_SF04_0315,10,G,3,Y,70,,8/21,,,,,
SALK_026457C,RAND_BIN_LINE,,CofC,NGH,SF,4,316,CofC_SF04_0316,10,G,4,Y,50,,8/21,,,,,
CS22606,PHYTOMETER,,CofC,NGH,SF,4,317,CofC_SF04_0317,10,H,1,Y,44,56,,,Some lost,,,
COL70000,PHYTOMETER,,CofC,NGH,SF,4,318,CofC_SF04_0318,10,H,2,Y,68,85,,,Some left,,,
CS22627,PHYTOMETER,,CofC,NGH,SF,4,319,CofC_SF04_0319,10,H,3,Y,74,,,,,,,
CS22627,PHYTOMETER,,CofC,NGH,SF,4,320,CofC_SF04_0320,10,H,4,Y,65,,,,,,,
