accession,line_type,parent_plant_id,institution,location,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,fruit_quantity,tissue_collected,outcome,comments,SURVIVE,REFARM?,REFARM_EXPTID,REFARM_COMMENTS,
CS22658,SEED_PHYTOMETER,,CofC,NGH,SF,2,202,CofC_SF02_0202,7,C,2,Y,2,NA,,,,,,,
SALK_005926C,RAND_BIN_LINE,,CofC,NGH,SF,2,203,CofC_SF02_0203,7,C,3,N,,,DIED,RESOW,,Y,SF07,,SALK_004275C
SALK_002912C,RAND_BIN_LINE,,CofC,NGH,SF,2,204,CofC_SF02_0204,7,C,4,Y,25,8/15/2012,,RESOW,N,,,,
SALK_001669C,RAND_BIN_LINE,,CofC,NGH,SF,2,205,CofC_SF02_0205,7,D,1,Y,5,8/6/2012,,,,,,,SALK_004337C
SALK_000684C,RAND_BIN_LINE,,CofC,NGH,SF,2,206,CofC_SF02_0206,7,D,2,Y,9,7/12/2012,,,,,,,
SALK_006172C,RAND_BIN_LINE,,CofC,NGH,SF,2,207,CofC_SF02_0207,7,D,3,N,24,8/15/2012,,RESOW,,,,,
SALK_001024C,RAND_BIN_LINE,,CofC,NGH,SF,2,208,CofC_SF02_0208,7,D,4,Y,7,8/15/2012,,RESOW,N,,,,SALK_004525C
SALK_149730C,RAND_BIN_LINE,,CofC,NGH,SF,2,209,CofC_SF02_0209,7,E,1,Y,7,7/16/2012,,,,,,,SALK_004686C
SALK_003449C,RAND_BIN_LINE,,CofC,NGH,SF,2,210,CofC_SF02_0210,7,E,2,N,19,8/15/2012,,RESOW,,,,,SALK_004831C
SALK_003994C,RAND_BIN_LINE,,CofC,NGH,SF,2,211,CofC_SF02_0211,7,E,3,Y,22,8/15/2012,,RESOW,,,,,
SALK_005571C,RAND_BIN_LINE,,CofC,NGH,SF,2,212,CofC_SF02_0212,7,E,4,Y,8,7/16/2012,,,,,,,
SALK_005488C,RAND_BIN_LINE,,CofC,NGH,SF,2,213,CofC_SF02_0213,7,F,1,Y,3,8/6/2012,,,,,,,SALK_004960C
SALK_003443C,RAND_BIN_LINE,,CofC,NGH,SF,2,214,CofC_SF02_0214,7,F,2,Y,,,DIED,,,Y,SF05,,
SALK_000404C,RAND_BIN_LINE,,CofC,NGH,SF,2,215,CofC_SF02_0215,7,F,3,Y,8,7/12/2012,,,,,,,
SALK_003691C,RAND_BIN_LINE,,CofC,NGH,SF,2,216,CofC_SF02_0216,7,F,4,Y,4,7/16/2012,,,,,,,
SALK_002924C,RAND_BIN_LINE,,CofC,NGH,SF,2,217,CofC_SF02_0217,7,G,1,N,25,8/15/2012,,RESOW,,,,,
SALK_002534C,RAND_BIN_LINE,,CofC,NGH,SF,2,218,CofC_SF02_0218,7,G,2,Y,6,7/12/2012,,,,,,,SALK_005142C
SALK_002876C,RAND_BIN_LINE,,CofC,NGH,SF,2,219,CofC_SF02_0219,7,G,3,Y,7,7/16/2012,,,,,,,
SALK_004966C,RAND_BIN_LINE,,CofC,NGH,SF,2,220,CofC_SF02_0220,7,G,4,Y,15,8/31/2012,,RESOW,N,,,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,2,221,CofC_SF02_0221,7,H,1,Y,21,NA,,,,,,,SALK_005270C
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,2,222,CofC_SF02_0222,7,H,2,Y,19,NA,,,,,,,
SALK_006594C,RAND_BIN_LINE,,CofC,NGH,SF,2,223,CofC_SF02_0223,7,H,3,N,52,8/15/2012,,RESOW,,,,,SALK_005342C
SALK_005168C,RAND_BIN_LINE,,CofC,NGH,SF,2,224,CofC_SF02_0224,7,H,4,Y,16,7/12/2012,,,,,,,
SALK_005080C,RAND_BIN_LINE,,CofC,NGH,SF,2,225,CofC_SF02_0225,8,A,1,N,19,8/15/2012,,RESOW,,,,,
SALK_004053C,RAND_BIN_LINE,,CofC,NGH,SF,2,226,CofC_SF02_0226,8,A,2,N,30,8/15/2012,,RESOW,,,,,SALK_005505C
CS22634,SEED_PHYTOMETER,,CofC,NGH,SF,2,227,CofC_SF02_0227,8,A,3,N,27,NA,,RESOW,,,,,
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,2,228,CofC_SF02_0228,8,A,4,Y,2,NA,,,N,,,,
CS22633,SEED_PHYTOMETER,,CofC,NGH,SF,2,229,CofC_SF02_0229,8,B,1,Y,13,NA,,,,,,,
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,2,230,CofC_SF02_0230,8,B,2,Y,5,NA,,,,,,,
CS22601,SEED_PHYTOMETER,,CofC,NGH,SF,2,231,CofC_SF02_0231,8,B,3,N,29,NA,Lost 13 fruits,RESOW,,,,,SALK_005724C
SALK_004867C,RAND_BIN_LINE,,CofC,NGH,SF,2,232,CofC_SF02_0232,8,B,4,N,14,8/15/2012,,RESOW,,,,,
SALK_001004C,RAND_BIN_LINE,,CofC,NGH,SF,2,233,CofC_SF02_0233,8,C,1,N,26,8/15/2012,,RESOW,,,,,
SALK_000586C,RAND_BIN_LINE,,CofC,NGH,SF,2,234,CofC_SF02_0234,8,C,2,N,18,8/15/2012,,RESOW,,,,,SALK_005826C
SALK_137582C,RAND_BIN_LINE,,CofC,NGH,SF,2,235,CofC_SF02_0235,8,C,3,Y,30,8/15/2012,,RESOW,N,,,,
SALK_006786C,RAND_BIN_LINE,,CofC,NGH,SF,2,236,CofC_SF02_0236,8,C,4,Y,,,DIED,RESOW,N,Y,SF07,,
SALK_005142C,RAND_BIN_LINE,,CofC,NGH,SF,2,237,CofC_SF02_0237,8,D,1,Y,3,8/15/2012,INS-FRUIT,,,,SF05,,
SALK_005912C,RAND_BIN_LINE,,CofC,NGH,SF,2,238,CofC_SF02_0238,8,D,2,N,25,8/15/2012,,RESOW,,,,,SALK_005926C
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,2,239,CofC_SF02_0239,8,D,3,Y,7,NA,,,,,,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,2,240,CofC_SF02_0240,8,D,4,Y,2,,INS-FRUIT,,,,,,SALK_005954C
SALK_004057C,RAND_BIN_LINE,,CofC,NGH,SF,2,241,CofC_SF02_0241,8,E,1,Y,9,7//12/12,,,,,,,SALK_005958C
SALK_003207C,RAND_BIN_LINE,,CofC,NGH,SF,2,242,CofC_SF02_0242,8,E,2,N,27,8/15/2012,,RESOW,,,,,
SALK_006327C,RAND_BIN_LINE,,CofC,NGH,SF,2,243,CofC_SF02_0243,8,E,3,Y,2,,INS-FRUIT,,,Y,SF07,,
SALK_006384C,RAND_BIN_LINE,,CofC,NGH,SF,2,244,CofC_SF02_0244,8,E,4,Y,,,DIED,RESOW,,Y,SF07,,SALK_006031C
SALK_003706C,RAND_BIN_LINE,,CofC,NGH,SF,2,245,CofC_SF02_0245,8,F,1,Y,4,7/16/2012,,,,,,,SALK_006163C
SALK_000090C,RAND_BIN_LINE,,CofC,NGH,SF,2,246,CofC_SF02_0246,8,F,2,N,,,DIED,RESOW,,Y,SF07,,
SALK_149694C,RAND_BIN_LINE,,CofC,NGH,SF,2,247,CofC_SF02_0247,8,F,3,N,,,DIED,RESOW,,Y,SF07,,SALK_006229C
SALK_001973C,RAND_BIN_LINE,,CofC,NGH,SF,2,248,CofC_SF02_0248,8,F,4,Y,12,7/12/2012,,,,,,,SALK_006235C
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,2,249,CofC_SF02_0249,8,G,1,Y,3,NA,,*Yana stole seeds,,,,,
SALK_003090C,RAND_BIN_LINE,,CofC,NGH,SF,2,250,CofC_SF02_0250,8,G,2,Y,32,7/12/2012,,,,,,,SALK_006272C
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,2,251,CofC_SF02_0251,8,G,3,Y,9,NA,,,,,,,
SALK_006736C,RAND_BIN_LINE,,CofC,NGH,SF,2,252,CofC_SF02_0252,8,G,4,N,15,8/15/2012,,RESOW,,,,,SALK_006327C
CS22596,SEED_PHYTOMETER,,CofC,NGH,SF,2,253,CofC_SF02_0253,8,H,1,Y,2,NA,,*Clare stole all seeds,N,,,,
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,2,254,CofC_SF02_0254,8,H,2,Y,2,NA,,,,,,,SALK_006384C
SALK_151590C,RAND_BIN_LINE,,CofC,NGH,SF,2,255,CofC_SF02_0255,8,H,3,Y,8,7/16/2012,,,,,,,SALK_006389C
CS22659,SEED_PHYTOMETER,,CofC,NGH,SF,2,256,CofC_SF02_0256,8,H,4,Y,16,NA,,,,,,,SALK_006390C
SALK_003066C,RAND_BIN_LINE,,CofC,NGH,SF,2,257,CofC_SF02_0257,9,A,1,N,25,8/15/2012,,RESOW,,,,,SALK_006444C
CS22653,SEED_PHYTOMETER,,CofC,NGH,SF,2,258,CofC_SF02_0258,9,A,2,Y,2,,INS-FRUIT,,,,,,
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,2,259,CofC_SF02_0259,9,A,3,Y,,,DIED,,,,,,SALK_006462C
SALK_003214C,RAND_BIN_LINE,,CofC,NGH,SF,2,260,CofC_SF02_0260,9,A,4,Y,4,8/6/2012,,,,,,,
SALK_005199C,RAND_BIN_LINE,,CofC,NGH,SF,2,261,CofC_SF02_0261,9,B,1,Y,4,7/16/2012,,,,,,,SALK_006515C
SALK_151600C,RAND_BIN_LINE,,CofC,NGH,SF,2,262,CofC_SF02_0262,9,B,2,Y,,,DIED,,,Y,SF05,,SALK_006526C
CS22614,SEED_PHYTOMETER,,CofC,NGH,SF,2,263,CofC_SF02_0263,9,B,3,Y,3,,INS-FRUIT,,,,,,SALK_006552C
SALK_135737C,RAND_BIN_LINE,,CofC,NGH,SF,2,264,CofC_SF02_0264,9,B,4,N,5,8/15/2012,,RESOW,,,,,SALK_006575C
SALK_005936C,RAND_BIN_LINE,,CofC,NGH,SF,2,265,CofC_SF02_0265,9,C,1,N,13,8/15/2012,,RESOW,,,,,
CS22606,SEED_PHYTOMETER,,CofC,NGH,SF,2,266,CofC_SF02_0266,9,C,2,N,24,NA,,RESOW,,,,,
SALK_002385C,RAND_BIN_LINE,,CofC,NGH,SF,2,267,CofC_SF02_0267,9,C,3,N,32,8/15/2012,,RESOW,,,,,
CS22652,SEED_PHYTOMETER,,CofC,NGH,SF,2,268,CofC_SF02_0268,9,C,4,Y,2,,INS-FRUIT,,N,,,,SALK_006727C
SALK_002641C,RAND_BIN_LINE,,CofC,NGH,SF,2,269,CofC_SF02_0269,9,D,1,N,24,8/15/2012,,RESOW,,,,,
CS22618,SEED_PHYTOMETER,,CofC,NGH,SF,2,270,CofC_SF02_0270,9,D,2,Y,16,NA,,RESOW,N,,,,
SALK_001453C,RAND_BIN_LINE,,CofC,NGH,SF,2,271,CofC_SF02_0271,9,D,3,Y,,,DIED,,,Y,SF05,,
SALK_001812C,RAND_BIN_LINE,,CofC,NGH,SF,2,272,CofC_SF02_0272,9,D,4,N,20,8/15/2012,,RESOW,,,,,
SALK_004170C,RAND_BIN_LINE,,CofC,NGH,SF,2,273,CofC_SF02_0273,9,E,1,N,20,8/15/2012,,RESOW,,,,,SALK_006778C
CS22634,SEED_PHYTOMETER,,CofC,NGH,SF,2,274,CofC_SF02_0274,9,E,2,Y,28,NA,,RESOW,N,,,,SALK_006786C
SALK_006265C,RAND_BIN_LINE,,CofC,NGH,SF,2,275,CofC_SF02_0275,9,E,3,Y,3,8/6/2012,,,,,,,
SALK_001621C,RAND_BIN_LINE,,CofC,NGH,SF,2,276,CofC_SF02_0276,9,E,4,N,15,8/15/2012,,RESOW,,,,,SALK_006874C
SALK_003311C,RAND_BIN_LINE,,CofC,NGH,SF,2,277,CofC_SF02_0277,9,F,1,N,12,8/15/2012,,RESOW,,,,,
CS22600,SEED_PHYTOMETER,,CofC,NGH,SF,2,278,CofC_SF02_0278,9,F,2,Y,15,NA,,,,,,,SALK_007197C
SALK_149656C,RAND_BIN_LINE,,CofC,NGH,SF,2,279,CofC_SF02_0279,9,F,3,Y,17,7/12/2012,,,,,,,SALK_135577C
SALK_001641C,RAND_BIN_LINE,,CofC,NGH,SF,2,280,CofC_SF02_0280,9,F,4,Y,11,7/12/2012,,,,,,,SALK_135601C
SALK_000383C,RAND_BIN_LINE,,CofC,NGH,SF,2,281,CofC_SF02_0281,9,G,1,Y,12,7/12/2012,,,,,,,
SALK_002181C,RAND_BIN_LINE,,CofC,NGH,SF,2,282,CofC_SF02_0282,9,G,2,Y,6,8/6/2012,,,,,,,
SALK_006760C,RAND_BIN_LINE,,CofC,NGH,SF,2,283,CofC_SF02_0283,9,G,3,N,29,8/15/2012,,RESOW,,,,,
SALK_001655C,RAND_BIN_LINE,,CofC,NGH,SF,2,284,CofC_SF02_0284,9,G,4,N,32,8/15/2012,,RESOW,,,,,
SALK_002893C,RAND_BIN_LINE,,CofC,NGH,SF,2,285,CofC_SF02_0285,9,H,1,N,30,8/15/2012,,RESOW,,,,,
CS22636,SEED_PHYTOMETER,,CofC,NGH,SF,2,286,CofC_SF02_0286,9,H,2,Y,22,NA,,,,,,,SALK_137516C
CS22617,SEED_PHYTOMETER,,CofC,NGH,SF,2,287,CofC_SF02_0287,9,H,3,Y,7,NA,,,,,,,
SALK_137685C,RAND_BIN_LINE,,CofC,NGH,SF,2,288,CofC_SF02_0288,9,H,4,N,,,DIED,RESOW,,Y,SF07,,
SALK_006773C,RAND_BIN_LINE,,CofC,NGH,SF,2,289,CofC_SF02_0289,10,A,1,N,2,8/20/2012,,RESOW,,,,,
SALK_005585C,RAND_BIN_LINE,,CofC,NGH,SF,2,290,CofC_SF02_0290,10,A,2,N,17,8/20/2012,,RESOW,,,,,SALK_137684C
SALK_001421C,RAND_BIN_LINE,,CofC,NGH,SF,2,291,CofC_SF02_0291,10,A,3,Y,1,,INS-FRUIT,,,Y,SF05,,SALK_137685C
SALK_004869C,RAND_BIN_LINE,,CofC,NGH,SF,2,292,CofC_SF02_0292,10,A,4,N,14,8/20/2012,,RESOW,,,,,
SALK_000312C,RAND_BIN_LINE,,CofC,NGH,SF,2,293,CofC_SF02_0293,10,B,1,N,20,8/20/2012,,RESOW,,,,,SALK_137773C
SALK_003079C,RAND_BIN_LINE,,CofC,NGH,SF,2,294,CofC_SF02_0294,10,B,2,Y,1,,INS-FRUIT,,,Y,SF05,,SALK_137791C
SALK_003294C,RAND_BIN_LINE,,CofC,NGH,SF,2,295,CofC_SF02_0295,10,B,3,Y,1,,INS-FRUIT,,,Y,SF07,,
SALK_004171C,RAND_BIN_LINE,,CofC,NGH,SF,2,296,CofC_SF02_0296,10,B,4,N,25,8/20/2012,,RESOW,,,,,SALK_149694C
SALK_006229C,RAND_BIN_LINE,,CofC,NGH,SF,2,297,CofC_SF02_0297,10,C,1,Y,1,,INS-FRUIT,,,Y,SF05,,
SALK_001709C,RAND_BIN_LINE,,CofC,NGH,SF,2,298,CofC_SF02_0298,10,C,2,Y,,,DIED,,,Y,SF05,,
SALK_137617C,RAND_BIN_LINE,,CofC,NGH,SF,2,299,CofC_SF02_0299,10,C,3,N,18,8/20/2012,,RESOW,,,,,SALK_149848C
SALK_003729C,RAND_BIN_LINE,,CofC,NGH,SF,2,300,CofC_SF02_0300,10,C,4,Y,4,8/6/2012,,,,,,,
CS22615,SEED_PHYTOMETER,,CofC,NGH,SF,2,301,CofC_SF02_0301,10,D,1,Y,,,DIED,,,,,,
SALK_006462C,RAND_BIN_LINE,,CofC,NGH,SF,2,302,CofC_SF02_0302,10,D,2,Y,,,DIED,,,Y,SF07,,
SALK_001994C,RAND_BIN_LINE,,CofC,NGH,SF,2,303,CofC_SF02_0303,10,D,3,N,8,8/20/2012,,RESOW,,,,,
SALK_149874C,RAND_BIN_LINE,,CofC,NGH,SF,2,304,CofC_SF02_0304,10,D,4,Y,4,,DIED,,,Y,SF07,,SALK_149871C
SALK_002974C,RAND_BIN_LINE,,CofC,NGH,SF,2,305,CofC_SF02_0305,10,E,1,Y,,,DIED,,,Y,SF05,,SALK_149874C
SALK_002712C,RAND_BIN_LINE,,CofC,NGH,SF,2,306,CofC_SF02_0306,10,E,2,N,23,8/20/2012,,RESOW,,,,,SALK_149891C
CS22649,SEED_PHYTOMETER,,CofC,NGH,SF,2,307,CofC_SF02_0307,10,E,3,N,2,NA,,RESOW,,,,,
SALK_001126C,RAND_BIN_LINE,,CofC,NGH,SF,2,308,CofC_SF02_0308,10,E,4,Y,,,DIED,,,Y,SF07,,SALK_151571C
SALK_001529C,RAND_BIN_LINE,,CofC,NGH,SF,2,309,CofC_SF02_0309,10,F,1,Y,1,,INS-FRUIT,,,Y,SF07,,SALK_151582C
SALK_004275C,RAND_BIN_LINE,,CofC,NGH,SF,2,310,CofC_SF02_0310,10,F,2,Y,1,,INS-FRUIT,,,Y,SF07,,
CS22649,SEED_PHYTOMETER,,CofC,NGH,SF,2,311,CofC_SF02_0311,10,F,3,Y,,,DIED,RESOW,N,,,,SALK_151600C
SALK_149747C,RAND_BIN_LINE,,CofC,NGH,SF,2,312,CofC_SF02_0312,10,F,4,Y,22,8/20/2012,,RESOW,N,,,,
CS22619,SEED_PHYTOMETER,,CofC,NGH,SF,2,313,CofC_SF02_0313,10,G,1,Y,,,DIED,RESOW,N,,,,SALK_151643C
SALK_007192C,RAND_BIN_LINE,,CofC,NGH,SF,2,314,CofC_SF02_0314,10,G,2,N,21,8/20/2012,,RESOW,,,,,SALK_151679C
SALK_149863C,RAND_BIN_LINE,,CofC,NGH,SF,2,315,CofC_SF02_0315,10,G,3,N,7,8/20/2012,,RESOW,,,,,SALK_151684C
SALK_151565C,RAND_BIN_LINE,,CofC,NGH,SF,2,316,CofC_SF02_0316,10,G,4,N,20,8/20/2012,,RESOW,,,,,SALK_151685C
CS22647,SEED_PHYTOMETER,,CofC,NGH,SF,2,317,CofC_SF02_0317,10,H,1,Y,3,,INS-FRUIT,,,,,,SALK_151687C
SALK_006272C,RAND_BIN_LINE,,CofC,NGH,SF,2,318,CofC_SF02_0318,10,H,2,Y,,,DIED,,,Y,SF05,,
SALK_003750C,RAND_BIN_LINE,,CofC,NGH,SF,2,319,CofC_SF02_0319,10,H,3,N,13,8/20/2012,,RESOW,,,,,SALK_151770C
