accession,plant_num,plant_id,parent_id,seed_stock_location,seed_quantity,isolation_id,comments
SALK_007052C,2,CofC_S11Farm_0077,,S11Farm_Box04_78,>100,I12-G04-25,
SALK_007052C,1A,CofC_S11Farm_0078,,S11Farm_Box09_13,30,,
SALK_007052C,1B,CofC_S11Farm_0079,,S11Farm_Box13_22,50,,
SALK_007400C,,CofC_S11Farm_0080,,,,,FARM_FAIL
SALK_007643C,,CofC_S11Farm_0081,,,,,DNG
SALK_007756C,1,CofC_S11Farm_0082,,,,,seed tubes both labeled plant #1
SALK_007756C,1H,CofC_S11Farm_0083,,,,I12-V03-4,seed tubes both labeled plant #1
SALK_007810C,2,CofC_S11Farm_0084,,S11Farm_Box09_9,100,,
SALK_007810C,1A,CofC_S11Farm_0085,,S11Farm_Box09_8,100,I11-V09-1,
SALK_007810C,1B,CofC_S11Farm_0086,,S11Farm_Box10_12,20,,
SALK_007810C,2H,CofC_S11Farm_0087,,,,,
SALK_007896C,1,CofC_S11Farm_0088,,S11Farm_Box01_19,100,I12-G05-22,
SALK_007896C,2,CofC_S11Farm_0089,,S11Farm_Box15_60,60,,
SALK_007896C,1B,CofC_S11Farm_0090,,S11Farm_Box12_51,30,,
SALK_007896C,2H,CofC_S11Farm_0091,,Hanna_Box01_10,100,I12-K02-10,
SALK_008040C,1,CofC_S11Farm_0092,,S11Farm_Box11_22,50,I11-G05-18,
SALK_008040C,2,CofC_S11Farm_0093,,S11Farm_Box11_68,50,,
SALK_008679C,1,CofC_S11Farm_0094,,,,,
SALK_008679C,2,CofC_S11Farm_0095,,S11Farm_Box09_10,>100,I12-G05-19,
SALK_008750C,1,CofC_S11Farm_0096,,S11Farm_Box02_73,100,I11-G05-3,
SALK_008750C,2,CofC_S11Farm_0097,,S11Farm_Box02_71,20,,
SALK_008897C,,CofC_S11Farm_0098,,,,,FARM_FAIL
SALK_008905C,2,CofC_S11Farm_0099,,,,I11-V12-12,no seed
SALK_009120C,1,CofC_S11Farm_0100,,S11Farm_Box04_9,>100,I12-G03-16,
SALK_009120C,2,CofC_S11Farm_0101,,S11Farm_Box04_8,>100,,
SALK_009578C,1A,CofC_S11Farm_0102,,S11Farm_Box10_44,120,,
SALK_009578C,1B,CofC_S11Farm_0103,,,,,
SALK_009578C,2A,CofC_S11Farm_0104,,S11Farm_Box10_45,120,I11-G01-26,
SALK_009578C,2B,CofC_S11Farm_0105,,,,,
SALK_009621C,1,CofC_S11Farm_0106,,S11Farm_Box10_35,60,I11-G04-8,
SALK_009621C,2,CofC_S11Farm_0107,,,,I11-V05-10,
SALK_009776C,1,CofC_S11Farm_0108,,S11Farm_Box11_39,10,I12-W06-19,
SALK_009776C,2,CofC_S11Farm_0109,,S11Farm_Box11_38,20,,
SALK_009815C,1,CofC_S11Farm_0110,,S11Farm_Box10_43,120,I11-G02-14,
SALK_009815C,2,CofC_S11Farm_0111,,S11Farm_Box10_40,120,,
SALK_009818C,1,CofC_S11Farm_0112,,S11Farm_Box02_72,100,,two DNA samples labeled #1
SALK_009818C,2,CofC_S11Farm_0113,,,,I11-V04-2,no seed
SALK_009879C,,CofC_S11Farm_0114,,,,,FARM_FAIL
SALK_010192C,1,CofC_S11Farm_0115,,S11Farm_Box01_3,100,,
SALK_010192C,2,CofC_S11Farm_0116,,S11Farm_Box01_6,100,I11-G04-26,
SALK_010208C,1,CofC_S11Farm_0117,,S11Farm_Box15_7,>100,I11-G01-5,
SALK_010208C,2,CofC_S11Farm_0118,,S11Farm_Box15_5,>100,,
SALK_010364C,1,CofC_S11Farm_0119,,S11Farm_Box01_63,100,,
SALK_010364C,2,CofC_S11Farm_0120,,S11Farm_Box01_56,5,I11-V13-14,
SALK_010364C,1A,CofC_S11Farm_0121,,,,,
SALK_010364C,1B,CofC_S11Farm_0122,,S11Farm_Box15_18,40,,
SALK_011077C,1,CofC_S11Farm_0123,,S11Farm_Box15_2,>100,I12-W05-3,
SALK_011077C,2,CofC_S11Farm_0124,,S11Farm_Box15_6,>100,,no DNA
SALK_011213C,1,CofC_S11Farm_0125,,S11Farm_Box09_65,90,I11-V09-5,
SALK_011213C,2,CofC_S11Farm_0126,,,,,
SALK_011343C,1,CofC_S11Farm_0127,,,,,
SALK_011343C,1A,CofC_S11Farm_0128,,,,,
SALK_011343C,2A,CofC_S11Farm_0129,,S11Farm_Box09_7,>100,I11-V09-8,
SALK_011414C,1,CofC_S11Farm_0130,,S11Farm_Box01_55,50-100,,no DNA
SALK_011414C,2,CofC_S11Farm_0131,,S11Farm_Box10_36,200,,multiple DNA samples labeled #2
SALK_011449C,,CofC_S11Farm_0132,,,,,FARM_FAIL
SALK_011661C,,CofC_S11Farm_0133,,,,,FARM_FAIL
SALK_011698C,1,CofC_S11Farm_0134,,S11Farm_Box05_12,150,I12-G06-24,
SALK_011698C,2,CofC_S11Farm_0135,,S11Farm_Box08_66,10,,
SALK_011698C,2A,CofC_S11Farm_0136,,,,,
SALK_011698C,2B,CofC_S11Farm_0137,,,,,
SALK_011857C,,CofC_S11Farm_0138,,,,,FARM_FAIL
SALK_012090C,1,CofC_S11Farm_0139,,S11Farm_Box01_16,>100,I11-G04-2,
SALK_012323C,1,CofC_S11Farm_0140,,S11Farm_Box11_58,50,I11-G05-5,
SALK_012323C,2,CofC_S11Farm_0141,,S11Farm_Box11_40,30,,
SALK_012763C,1A,CofC_S11Farm_0142,,S11Farm_Box01_22,50,I11-G04-21,
SALK_012997C,,CofC_S11Farm_0143,,,,,DNG
SALK_013113C,2,CofC_S11Farm_0144,,S11Farm_Box02_8,20,,no DNA
SALK_013129C,1,CofC_S11Farm_0145,,,,,two samples both labeled #1
SALK_013129C,1,CofC_S11Farm_0146,,,,,two samples both labeled #1
SALK_013229C,1,CofC_S11Farm_0147,,S11Farm_Box04_26,>100,I12-V02-12,
SALK_013229C,2,CofC_S11Farm_0148,,S11Farm_Box04_17,>100,,
SALK_013258C,1,CofC_S11Farm_0149,,,,,no seed; duplicate DNA samples
SALK_013258C,2,CofC_S11Farm_0150,,,,,no DNA; duplicate seed samples
SALK_013353C,,CofC_S11Farm_0151,,,,,FARM_FAIL
SALK_013526C,1,CofC_S11Farm_0152,,,,I11-G05-11,duplicate seed samples
SALK_013567C,1,CofC_S11Farm_0153,,,,,
SALK_013832C,1,CofC_S11Farm_0154,,S11Farm_Box05_59,150,I11-G02-21,
SALK_013832C,2,CofC_S11Farm_0155,,S11Farm_Box05_60,200,,
SALK_014510C,,CofC_S11Farm_0156,,,,,FARM_FAIL
SALK_014983C,2,CofC_S11Farm_0157,,S11Farm_Box03_34,100,I12-V02-13,
SALK_015348C,,CofC_S11Farm_0158,,,,,FARM_FAIL
SALK_015360C,1,CofC_S11Farm_0159,,S11Farm_Box11_64,50,,
SALK_015360C,2,CofC_S11Farm_0160,,S11Farm_Box05_61,160,I11-G01-2,
SALK_015439C,1,CofC_S11Farm_0161,,Hanna_Box02_2,30,,no DNA
SALK_015439C,2,CofC_S11Farm_0162,,,,,no DNA
SALK_015497C,1,CofC_S11Farm_0163,,,,,
SALK_015497C,2,CofC_S11Farm_0164,,S11Farm_Box07_34,10,,no DNA
SALK_015986C,1,CofC_S11Farm_0165,,S11Farm_Box15_81,60,,
SALK_015986C,2,CofC_S11Farm_0166,,S11Farm_Box15_79,100,I11-G01-10,
SALK_016135C,1,CofC_S11Farm_0167,,S11Farm_Box04_6,100,,
SALK_016135C,2A,CofC_S11Farm_0168,,S11Farm_Box04_3,100,I12-G03-3,
SALK_016135C,2B,CofC_S11Farm_0169,,S11Farm_Box08_62,7,,
SALK_016141C,1,CofC_S11Farm_0170,,Hanna_Box01_12,50,I12-V02-2,
SALK_016597C,1,CofC_S11Farm_0171,,,,,
SALK_016597C,2,CofC_S11Farm_0172,,S11Farm_Box10_9,20,,
SALK_016764C,2,CofC_S11Farm_0173,,S11Farm_Box03_25,100,,
SALK_016764C,1A,CofC_S11Farm_0174,,S11Farm_Box03_20,50,I11-G01-20,
SALK_016764C,1B,CofC_S11Farm_0175,,,,,
SALK_016798C,1,CofC_S11Farm_0176,,S11Farm_Box04_22,50,,
SALK_016798C,2,CofC_S11Farm_0177,,S11Farm_Box04_21,50,,
SALK_016798C,1H,CofC_S11Farm_0178,,Hanna_Box02_33,20,I12-K01-7,
SALK_016841C,1,CofC_S11Farm_0179,,S11Farm_Box07_63,10,I11-V12-15,
SALK_016929C,2,CofC_S11Farm_0180,,,,,
SALK_016929C,1A,CofC_S11Farm_0181,,,,,
